FIPS,County,LaborForce, Employed, Unemployed,UnemploymentRate,MedianIncome,MedianIncomePercent,AnnualIncome,TotalVotes,TotalVotes_Democratic,TotalVotes_Republican,TotalVotes_Libertarian,VoterTurnout_BlackFemale,VoterTurnout_BlackMale,VoterTurnout_WhiteFemale,VoterTurnout_WhiteMale,VoterTurnout_Asian,VoterTurnout_Hispanic,VoterTurnout_OtherRace,Male,Female,Not_HS_Graduate,HS_Graduate,Some_College,College_Graduate
13031,Bulloch  ,36576,34421,2155,5.9,43766,74.6,32724,30084,37.37,61.12,0.58,12.59,7.54,37.14,32.91,0.78,1.18,7.86,41022,39570,26.96,27.24,33.16,33.1
13033,Burke  ,8521,7940,581,6.8,42785,73,38481,10684,48.76,50.54,0.34,26.21,16.06,26.7,24.86,0.3,0.68,5.18,11641,10666,13.24,38.32,28.52,27
13035,Butts  ,10309,9695,614,6,48831,83.3,35017,11771,27.81,71.41,0.42,12.21,7.74,37.98,33.94,0.26,0.97,6.9,11687,13237,12.24,44.71,23.65,13.2
13037,Calhoun  ,2176,2069,107,4.9,33393,57,27390,2194,57.43,42.07,0.09,33.36,20.78,22.61,19.6,0.5,0.23,2.92,2385,3743,9.11,36.71,27.07,12.2
13039,Camden  ,19722,18862,860,4.4,56555,96.5,37184,23688,33.63,64.38,0.87,9.42,6.16,34.69,31,1.06,2.07,15.59,26653,28322,23.88,32.19,35.26,9.1
13043,Candler  ,5499,5262,237,4.3,35841,61.1,34192,4431,28.64,70.71,0.25,11.44,7.76,38.72,33.99,0.32,1.81,5.97,5535,5306,13.01,37.31,27,23.9
13045,Carroll  ,52909,49913,2996,5.7,52502,89.5,39147,54474,29.81,68.8,0.66,8.83,5.65,40.12,35.27,0.59,1.71,7.82,61772,59105,21.08,33.38,30.17,13
13047,Catoosa  ,32377,31214,1163,3.6,55807,95.2,36399,32593,21.27,77.22,0.72,1.05,0.79,47.33,39.98,0.66,0.93,9.25,34805,33007,21.39,32.89,33.2,21.1
13049,Charlton  ,4556,4394,162,3.6,40499,69.1,25020,4566,24.16,74.88,0.44,10.39,6.56,37.85,34.2,0.57,0.44,9.99,5542,7843,8.81,40.13,25.19,21.4
13051,Chatham  ,136050,125967,10083,7.4,54165,92.4,48294,133420,58.65,39.9,0.39,20.86,12.66,29.53,25.22,1.56,2.1,8.07,150546,140004,33.58,24.22,32.1,8.8
13053,Chattahoochee  ,1844,1736,108,5.9,46869,79.9,30062,1582,42.16,55.63,0.51,15.69,11.72,29.87,28.29,1.07,4.22,9.14,3906,6981,29.48,28.35,36.45,33.6
13055,Chattooga  ,9568,8950,618,6.5,39513,67.4,31577,10050,18.45,80.24,0.57,3.67,2.39,45.55,39.46,0.28,0.76,7.89,12013,12618,8.93,40.11,24.79,29.5
13057,Cherokee  ,129173,123795,5378,4.2,82733,141.1,52953,144830,29.55,68.76,0.62,3.09,2.22,42.68,37.72,1.3,3.53,9.46,131877,128312,38.23,22.41,31.46,8.9
13059,Clarke  ,56547,53204,3343,5.9,42112,71.8,34869,51333,70.22,28.14,0.63,13.73,8.15,33.82,29.17,1.83,3.65,9.64,67608,61304,44,19.91,24.07,38.2
13061,Clay  ,909,794,115,12.7,30239,51.6,35142,1434,55.09,44.42,0,31.47,17.76,25.1,22.38,0.07,0.28,2.94,1491,1314,12.52,36.28,31.22,44
13063,Clayton  ,138963,123405,15558,11.2,46059,78.6,28665,112344,84.99,14.08,0.35,44.93,27.61,6.21,5.05,2.71,3.56,9.94,160296,140791,19.52,33.65,31.65,12.5
13065,Clinch  ,2381,2276,105,4.4,37593,64.1,39136,2864,26.08,73.5,0.28,13.69,8.19,37.76,35.21,0.28,0.49,4.39,3386,3199,10,33.92,25.25,19.5
13067,Cobb  ,409228,386475,22753,5.6,78603,134.1,59194,393746,56.34,42.02,0.5,14.72,9.73,31.04,27.78,3.36,4.74,8.64,394435,372046,47.38,18.51,26.2,10
13069,Coffee  ,18518,17505,1013,5.5,39480,67.3,34073,15214,29.65,69.53,0.44,14.5,8.25,37.99,32.87,0.56,2.47,3.36,20950,22240,13.02,37.2,25.49,47.4
13071,Colquitt  ,20209,19315,894,4.4,38633,65.9,34780,16083,26.03,73.23,0.3,10.59,6.08,40.25,34.91,0.51,2.88,4.78,23074,22488,12.76,38.85,23.13,13
13073,Columbia  ,69589,67055,2534,3.6,82184,140.2,51184,80579,36.28,62.07,0.71,9.61,6.94,36.36,32.46,3.08,2.92,8.63,81285,78120,36.36,23.82,32.56,12.8
13075,Cook  ,7911,7538,373,4.7,38827,66.2,33845,7035,29.27,69.65,0.51,14.43,8.34,38.18,35.23,0.45,1.16,2.21,9074,8372,13.49,36.35,29.3,36.4
13077,Coweta  ,71770,67734,4036,5.6,70974,121,48424,76799,31.52,67.06,0.37,8.53,5.12,38.29,33.94,1.05,2.39,10.69,77272,73597,30.26,28.57,30.33,13.5
13079,Crawford  ,5246,5017,229,4.4,48004,81.9,34100,6102,26.47,72.57,0.46,10.98,7.49,38.71,37.24,0.23,0.49,4.86,6101,6286,10.52,40.01,32.61,30.3
13081,Crisp  ,9404,8697,707,7.5,36096,61.6,35421,8039,37.14,62.04,0.41,20.85,10.64,34.83,29.56,0.55,0.67,2.89,11645,10611,14.11,37.63,31.07,10.5
13083,Dade  ,7908,7654,254,3.2,48779,83.2,34639,7434,16.96,81.6,0.59,0.15,0.16,48.04,42.22,0.33,0.57,8.52,8175,7884,15.17,37.72,27.86,14.1
13085,Dawson  ,11677,11224,453,3.9,68835,117.4,46278,16081,15.46,83.32,0.56,0.16,0.22,47.66,43.47,0.54,1.53,6.42,13634,13292,30.61,29.11,27.46,15.2
13087,Decatur  ,10891,10385,506,4.6,38441,65.6,38393,11627,41.11,58.12,0.4,21.65,11.96,32.63,27.9,0.38,1.26,4.22,13434,12753,13.77,36.74,32.01,30.6
