FIPS,County,Labor Force, Employed, Unemployed,Unemployment Rate,Median Household Income,Med HH Income Percent of State Total,Annual Income,Votes Cast for President,"Votes Cast for President, Democratic Party, Percent","Votes Cast for President, Republican Party, Percent","Votes Cast for President, Libertarian Party, Percent",Voting History,"Voter Turnout, Black Female, Percent","Voter Turnout, Black Male, Percent","Voter Turnout, White Female, Percent","Voter Turnout, White Male, Percent","Voter Turnout, Asian, Percent","Voter Turnout, Hispanic, Percent","Voter Turnout, Other Race, Percent",Male Population,Female Population
13135,Gwinnett County ,473735,445009,28726,6.1,72008,122.80,42902,413865,58.43,40.21,0.53,416603,16.32,11.28,23.08,20.64,8.74,7.95,11.99,"485,524","463,914"
13137,Habersham County ,18136,17329,807,4.4,51829,88.40,34831,20432,17.44,81.43,0.62,20509,0.86,0.64,47.35,42.08,0.80,2.60,5.65,"24,000","21,721"
13139,Hall County ,96499,92628,3871,4.0,61631,105.10,45576,90523,27.65,70.89,0.67,90637,3.56,2.35,40.69,35.69,1.19,7.34,9.18,"103,629","102,971"
13141,Hancock County ,2486,2261,225,9.1,31716,54.10,31297,4165,71.67,27.83,0.10,4178,39.66,26.30,14.53,14.82,0.19,0.22,4.28,"3,634","4,712"
13143,Haralson County ,12002,11381,621,5.2,47662,81.30,37582,14248,12.58,86.55,0.28,14297,1.76,1.31,48.25,43.32,0.48,0.47,4.42,"15,340","14,543"
13145,Harris County ,15360,14780,580,3.8,74686,127.40,49471,19991,27.30,71.63,0.25,20109,7.77,6.04,40.50,37.06,0.76,1.61,6.27,"17,686","17,875"
13147,Hart County ,10573,10075,498,4.7,47171,80.40,37701,12727,24.81,74.36,0.34,12810,7.70,4.60,42.83,38.64,0.84,0.61,4.79,"13,224","12,970"
13149,Heard County ,5010,4740,270,5.4,46218,78.80,31965,5391,15.28,83.77,0.35,5410,4.95,3.07,44.99,41.61,0.44,0.61,4.33,"6,047","6,041"
13151,Henry County ,112422,104092,8330,7.4,72970,124.40,40182,122742,59.70,39.26,0.53,123564,27.31,17.83,20.85,18.47,1.82,2.64,11.08,"124,677","113,608"
13153,Houston County ,65659,62506,3153,4.8,60728,103.60,44059,74823,43.08,55.51,0.45,75144,17.57,11.25,31.27,28.54,2.04,2.17,7.15,"82,044","77,073"
13155,Irwin County ,3267,3105,162,5.0,38156,65.10,36036,4168,24.18,75.19,0.41,4180,12.30,6.58,40.07,37.30,0.41,0.72,2.63,"4,371","4,941"
13157,Jackson County ,36480,35066,1414,3.9,68984,117.70,43508,37670,20.29,78.30,0.68,37845,3.13,2.25,44.12,39.54,1.15,2.94,6.87,"38,106","37,245"
13159,Jasper County ,6587,6286,301,4.6,51241,87.40,38568,7644,23.04,76.16,0.27,7647,9.23,6.09,42.54,38.94,0.22,0.72,2.25,"7,260","6,991"
13161,Jeff Davis County ,5597,5338,259,4.6,37211,63.50,32069,5771,17.81,81.36,0.29,5793,7.79,4.94,44.19,38.03,0.21,1.83,3.02,"7,636","7,448"
13163,Jefferson County ,6361,5936,425,6.7,38274,65.30,36033,7642,53.14,46.28,0.26,7683,30.08,17.08,24.35,22.34,0.14,0.35,5.66,"7,864","7,407"
13165,Jenkins County ,3029,2844,185,6.1,31419,53.60,31635,3455,36.64,62.55,0.23,3460,20.38,11.73,33.27,29.25,0.26,0.29,4.83,"4,042","4,629"
13167,Johnson County ,3824,3649,175,4.6,34849,59.40,26341,4100,29.80,69.51,0.32,4116,16.98,9.91,37.39,33.21,0.39,0.12,1.99,"4,132","5,424"
13169,Jones County ,12860,12345,515,4.0,55737,95.10,38526,14966,32.66,66.58,0.31,15025,14.24,9.87,38.28,33.90,0.43,0.58,2.70,"14,814","13,920"
13171,Lamar County ,7862,7422,440,5.6,48323,82.40,34375,9039,28.93,70.03,0.44,9069,12.74,7.82,38.69,34.38,0.28,0.58,5.51,"9,979","9,148"
13173,Lanier County ,3658,3491,167,4.6,41564,70.90,28991,3576,28.50,70.16,0.70,3589,11.20,8.00,38.70,34.02,0.70,1.67,5.71,"5,128","5,249"
13175,Laurens County ,18337,17217,1120,6.1,42114,71.80,38995,22729,35.52,63.76,0.28,22810,18.53,10.90,34.61,30.51,0.71,0.62,4.12,"24,927","22,485"
13177,Lee County ,13746,13160,586,4.3,66090,112.70,49274,16714,27.27,71.84,0.41,16780,11.05,7.32,39.03,34.62,1.31,0.98,5.68,"15,008","15,215"
13179,Liberty County ,25720,24197,1523,5.9,47685,81.30,37424,21389,61.24,37.21,0.64,21477,27.81,19.13,19.39,17.26,1.65,4.74,10.02,"30,586","31,185"
13181,Lincoln County ,3299,3122,177,5.4,46967,80.10,38527,4650,30.86,68.37,0.28,4668,14.50,9.94,35.48,33.87,0.21,0.30,5.70,"4,017","3,836"
13183,Long County ,7820,7510,310,4.0,46428,79.20,27232,5656,35.94,62.38,0.85,5685,14.46,10.26,31.24,28.94,1.14,3.98,9.99,"9,810","10,036"
13185,Lowndes County ,50863,47956,2907,5.7,41820,71.30,38706,46355,43.40,55.42,0.54,46503,18.75,11.17,33.03,28.99,1.18,1.90,4.99,"60,979","57,096"
13187,Lumpkin County ,15904,15329,575,3.6,55583,94.80,38450,15531,20.13,78.31,0.84,15612,0.31,0.24,47.92,43.47,0.42,1.30,6.34,"17,108","16,815"
13189,McDuffie County ,8316,7713,603,7.3,42768,72.90,38456,4662,61.28,38.25,0.21,4667,34.37,21.98,19.80,19.01,1.01,0.73,3.11,"5,756","6,977"
13191,McIntosh County ,5381,5063,318,5.9,42513,72.50,30981,14937,22.84,75.83,0.52,14991,4.62,3.12,43.93,39.79,0.97,1.33,6.24,"15,189","14,943"
13193,Macon County ,4371,4090,281,6.4,32868,56.10,32343,3624,36.18,62.78,0.55,3644,17.73,11.33,33.42,31.39,0.63,1.51,3.98,"4,152","4,118"
13195,Madison County ,12593,12043,550,4.4,51338,87.60,36879,10455,39.87,59.01,0.53,10512,21.85,12.60,33.72,29.62,0.27,0.69,1.25,"11,250","10,013"
